Class,Title,Units,Prereq,Coreq
ENGIN 136,Computer Programming for Engineers Using MATLAB,4,MATH 192,N
ENGIN 140,Plane Surveying,4,N,N
ENGIN 210,Thermodynamics,3,CHEM 120-PHYS 230,N
ENGIN 230,Introduction to Circuits and Devices,4,MATH 193-PHYS 230,N
ENGIN 240,Properties of Engineering Materials,4,CHEM 120-PHYS 230,N
ENGIN 255,Statics,3,MATH 193-PHYS 130,N
ENGIN 257,Statics and Strength of Materials,3,MATH 193-PHYS 130,N
,,,,
Engineering Technology,Engineering Technology,Engineering Technology,Engineering Technology,Engineering Technology
ENGTC 119,Introduction to Technical Drawing,3,N,N
ENGTC 126,Computer Aided Design and Drafting - AutoCAD,3,N,N
ENGTC 160,Introduction to Industrial and Manufacturing Engineering,3,N,N
ENGTC 162,Geometric Dimensioning and Tolerancing,1,N,N
ENGTC 226,"Computer Aided Drafting Design, Advanced Concepts - AutoCAD",3,N,N
,,,,
English,English,English,English,English
ENGL 122,First-Year College Writing and Reading,3,N,N
ENGL 122A,First-Year College English for Multilingual Students,3,N,N
ENGL 122AL,First-Year College English Intensive for Multilingual Students,5,N,N
ENGL 122AM,First-Year College English with Support for Multilingual Students,4,N,N
ENGL 122L,First-Year College Writing and Reading With Additional Support,5,N,N
ENGL 122M,First-Year College Writing and Reading With Support,4,N,N
ENGL 122X,"Year-Long First-Year College Writing and Reading, Part II",3,N,N
ENGL 123,Critical Thinking: Writing about Literature,3,ENGL 122,N
ENGL 124,The Nature of Language: An Introduction to Linguistics,3,N,N
ENGL 126,Critical Thinking: Writing about Non-Fiction,3,ENGL 122,N
ENGL 150,Introduction to Literature,3,N,N
ENGL 151,The Short Story,3,N,N
ENGL 152,Film as Literature,3,N,N
ENGL 153,Contemporary Poetry,3,N,N
ENGL 154,Shakespeare and His World,3,N,N
ENGL 162,"Language, Literature, and Culture",3,N,N
ENGL 163,Asian American Literature,3,N,N
ENGL 164,Native American Literatures,3,N,N
ENGL 166,African American Literature,3,N,N
ENGL 167,Latin American Literature,3,N,N
ENGL 168,Multiethnic Literatures of the United States,3,N,N
ENGL 170,World Mythology,3,N,N
ENGL 172,The Bible as Literature,3,N,N
ENGL 173,Queer Literature Across Cultures,3,N,N
ENGL 175,Science Fiction and Fantasy Literature,3,N,N
ENGL 176,The Graphic Novel as Literature,3,N,N
ENGL 177,Children's Literature,3,N,N
ENGL 178,Young Adult Literature,3,N,N
ENGL 180,Drama and Performance as Literature,3,N,N
ENGL 190,Multicultural Literature by American Women,3,N,N
ENGL 222,Multi-Genre Creative Writing,3,ENGL 122,N
ENGL 223,Short Story Writing,3,ENGL 122,N
ENGL 224,Poetry Writing,3,ENGL 122,N
ENGL 225,Creative Nonfiction Writing,3,ENGL 122,N
ENGL 252,Survey of Early English Literature,3,ENGL 122,N
ENGL 253,Survey of Late English Literature,3,ENGL 122,N
ENGL 262,Survey of Early American Literature,3,ENGL 122,N
ENGL 263,Survey of Late American Literature,3,ENGL 122,N
ENGL 272,Survey of Early World Literature,3,ENGL 122,N
ENGL 273,Survey of Late World Literature,3,ENGL 122,N
,,,,
English as a Second Language,English as a Second Language,English as a Second Language,English as a Second Language,English as a Second Language
ESL 117A,Integrated Reading and Writing: Advanced English Language Learners,5,N,N
,,,,
Ethnic Studies,Ethnic Studies,Ethnic Studies,Ethnic Studies,Ethnic Studies
ETHN 101,Introduction to Ethnic Studies,3,N,N
,,,,
"Film, Television, and Electronic Media","Film, Television, and Electronic Media","Film, Television, and Electronic Media","Film, Television, and Electronic Media","Film, Television, and Electronic Media"
FTVE 140,Introduction to Film and Media Scriptwriting,3,N,N
FTVE 141,Intermediate Film and Media Scriptwriting,3,FTVE 140,N
FTVE 142,Advanced Film and Media Scriptwriting,3,FTVE 141,N
FTVE 160,Introduction to Film Production,3,N,N
FTVE 161,Intermediate Film Production,3,FTVE 160,N
FTVE 165,Digital Editing,3,N,N
FTVE 166,Intermediate Digital Editing,3,FTVE 165,N
FTVE 200,American Cinema/American Culture,3,N,N
FTVE 205,Introduction to Film and Media Arts,3,N,N
FTVE 210,American Ethnic Cultures in Film,3,N,N
FTVE 240,Survey of Broadcasting and Electronic Media,3,N,N
FTVE 260,Ethnic Images in United States (U.S.) Television,3,N,N
FTVE 280,American Cinema 1900-1950,3,N,N
FTVE 281,World Cinema 1900-1960,3,N,N
FTVE 282,American Cinema 1950 to the Present,3,N,N
FTVE 283,World Cinema 1960 to the Present,3,N,N
,,,,
French,French,French,French,French
FRNCH 120,First Term French,5,N,N
FRNCH 121,Second Term French,5,FRNCH 120,N
FRNCH 220,Third Term French,5,FRNCH 121,N
FRNCH 221,Fourth Term French,5,FRNCH 220,N
FRNCH 230,Fifth Term French,3,FRNCH 221,N
FRNCH 231,Sixth Term French,3,FRNCH 230,N
,,,,
Geography,Geography,Geography,Geography,Geography
GEOG 120,Physical Geography,3,N,N
GEOG 121,Physical Geography Laboratory,1,GEOG 120,N
GEOG 124,Thinking and Communicating Geospatially,3,N,N
GEOG 125,Introduction to Geographic Information Systems (GIS),3,N,N
GEOG 130,Cultural Geography,3,N,N
GEOG 135,World Regional Geography,3,N,N
GEOG 140,Introduction to Weather,3,N,N
GEOG 141,Introduction to Weather Laboratory,1,N,GEOG 140
GEOG 160,Introduction to Remote Sensing,3,N,N
GEOG 162,Map Design and Visualization,3,N,N
,,,,
Geology,Geology,Geology,Geology,Geology
GEOL 120,Physical Geology,3,N,N
GEOL 121,Earth and Life Through Time,3,N,N
GEOL 122,Physical Geology Laboratory,1,N,GEOL 120
GEOL 124,Earth and Life Through Time Laboratory,1,N,GEOL 121
GEOL 125,Geology of California,3,N,N
GEOL 130,Earth Science,4,N,N
GEOL 135,Introduction to Field Geology,2,GEOL 120-GEOL 122,N
,,,,
German,German,German,German,German
GRMAN 120,First Term German,5,N,N
GRMAN 121,Second Term German,5,GRMAN 120,N
GRMAN 220,Third Term German,5,GRMAN 121,N
GRMAN 221,Fourth Term German,5,GRMAN 220,N
GRMAN 230,Fifth Term German,3,GRMAN 221,N
GRMAN 231,Sixth Term German,3,GRMAN 230,N
,,,,
History,History,History,History,History
HIST 120,History of the United States before 1865,3,N,N
HIST 121,History of the United States after 1865,3,N,N
HIST 122,Critical Reasoning in History,3,ENGL 122,N
HIST 124,History of California,3,N,N
HIST 125,History of the United States: A Mexican American Perspective,3,N,N
HIST 126,The American West,3,N,N
HIST 127,African American Perspective History of the US to 1865,3,N,N
HIST 128,African American Perspective History of the US after 1865,3,N,N
HIST 129,History of Asians and Pacific Islanders in the United States,3,N,N
HIST 135,History of Latin America - The Colonial Period,3,N,N
HIST 136,History of Latin America - The National Period,3,N,N
HIST 140,History of Western Civilization to the Renaissance,3,N,N
HIST 141,History of Western Civilization since the Renaissance,3,N,N
HIST 142,Contemporary European History,3,N,N
HIST 150,History of East Asia (to 1600),3,N,N
HIST 151,History of East Asia (from 1600 - Present),3,N,N
HIST 170,History of Women in the United States before 1877,3,N,N
HIST 171,History of Women in the United States after 1865,3,N,N
HIST 180,World History to 1500,3,N,N
HIST 181,World History since 1500,3,N,N
,,,,
Horticulture,Horticulture,Horticulture,Horticulture,Horticulture
HORT 110,Introduction to Horticulture and Plant Science,4,N,N
HORT 120,Soil Science and Management,3,HORT 110,N
,,,,
Humanities,Humanities,Humanities,Humanities,Humanities
HUMAN 105,Introduction to Humanities: Arts and Ideas,3,N,N
HUMAN 108,Humanities: The Roots of Hell,3,N,N
HUMAN 110,Humanities: Ancient Civilizations,3,N,N
HUMAN 111,Humanities: The Middle Ages and Renaissance,3,N,N
HUMAN 112,Humanities: The Modern World,3,N,N
HUMAN 115,Humanities: The Multicultural American Experience,3,N,N
HUMAN 116,Humanities: The Arts and Culture of Asia,3,N,N
HUMAN 118,"Humanities: Film, Fiction, and Criticism",3,N,N
HUMAN 123,Humanities: American Popular Culture,3,N,N
HUMAN 124,Humanities: California Culture,3,N,N
,,,,
Industrial Design,Industrial Design,Industrial Design,Industrial Design,Industrial Design
IDSGN 120,Introduction to Industrial and Product Design,3,N,N
,,,,
Italian,Italian,Italian,Italian,Italian
ITAL 120,First Term Italian,5,N,N
ITAL 121,Second Term Italian,5,ITAL 120,N
ITAL 220,Third Term Italian,5,ITAL 121,N
ITAL 221,Fourth Term Italian,5,ITAL 220,N
ITAL 230,Fifth Term Italian,3,ITAL 221,N
ITAL 231,Sixth Term Italian,3,ITAL 230,N
,,,,
Japanese,Japanese,Japanese,Japanese,Japanese
JAPAN 120,First Term Japanese,5,N,N
JAPAN 121,Second Term Japanese,5,JAPAN 120,N
JAPAN 220,Third Term Japanese,5,JAPAN 121,N
JAPAN 221,Fourth Term Japanese,5,JAPAN 220,N
,,,,
Journalism,Journalism,Journalism,Journalism,Journalism
JRNAL 110,Mass Media of Communication,3,N,N
,,,,
Kinesiology,Kinesiology,Kinesiology,Kinesiology,Kinesiology
KINES 100,Fitness and Wellness,1,N,N
KINES 210,Introduction to Kinesiology,3,N,N
KINES 234,Introduction to Sports Medicine and Athletic Training,3,N,N
KINES 240,Principles of Optimizing Human Performance,3,N,N
KINES 242,Exercise Techniques and Fitness Assessments,1,N,N
KINES 248,Sport and Society,3,N,N
KINES 260,Theory of Coaching Sports,3,N,N
KINES 265,Theory and Strategies of American Football Offense,2,N,N
KINES 266,Theory and Strategies of American Football Defense,2,N,N
,,,,
Kinesiology - Activity,Kinesiology - Activity,Kinesiology - Activity,Kinesiology - Activity,Kinesiology - Activity
KNACT 100A,Beginning Swimming,1,N,N
KNACT 100B,Intermediate Swimming,1,KNACT 100A,N
KNACT 102A,Beginning Aquatic Fitness,1,N,N
KNACT 102B,Intermediate Aquatic Fitness,1,KNACT 102A,N
KNACT 110A,Beginning Hatha Yoga,1,N,N
KNACT 110B,Intermediate Hatha Yoga,1,KNACT 110A,N
KNACT 110C,Advanced Hatha Yoga,1,KNACT 110B,N
KNACT 120,Physical Fitness,1,N,N
KNACT 122A,"Beginning Exercise, Balance, and Mobility",1,N,N
KNACT 122B,"Intermediate Exercise, Balance, and Mobility",1,KNACT 122A,N
KNACT 124A,"Beginning Strength, Core, and More",1,N,N
KNACT 124B,"Intermediate Strength, Core, and More",1,KNACT 124A,N
KNACT 125,Zumba,1,N,N
KNACT 128A,Beginning Cardio Kickboxing,1,N,N
KNACT 128B,Intermediate Cardio Kickboxing,1,KNACT 128A,N
KNACT 130A,Beginning Fitness Walking,1,N,N
KNACT 130B,Intermediate Fitness Walking,1,KNACT 130A,N
KNACT 132,Hiking,1,N,N
KNACT 140,Indoor Cycling,1,N,N
KNACT 144A,Beginning Strength and Cardio Circuit Training,1,N,N
KNACT 144B,Intermediate Strength and Cardio Circuit Training,1,KNACT 144A,N
KNACT 146A,Theory and Practice of Strength Training and Fitness I,1,N,N
KNACT 146B,Theory and Practice of Strength Training and Fitness II,1,KNACT 146A,N
KNACT 146C,Theory and Practice of Strength Training and Fitness III,1,KNACT 146B,N
KNACT 146D,Theory and Practice of Strength Training and Fitness IV,1,KNACT 146C,N
KNACT 148A,Beginning Power Training,1,N,N
KNACT 148B,Intermediate Power Training,1,KNACT 148A,N
KNACT 160A,Beginning Badminton,1,N,N
KNACT 160B,Intermediate Badminton,1,KNACT 160A,N
KNACT 162,Bowling,1,N,N
KNACT 164A,Beginning Golf,1,N,N
KNACT 164B,Intermediate Golf,1,KNACT 164A,N
KNACT 166A,Beginning Tennis,1,N,N
KNACT 166B,Intermediate Tennis,1,KNACT 166A,N
KNACT 170A,Beginning Basketball,1,N,N
KNACT 170B,Intermediate Basketball,1,KNACT 170A,N
KNACT 174A,Beginning Men's Lacrosse,1,N,N
KNACT 174B,Intermediate Men's Lacrosse,1,KNACT 174A,N
KNACT 176A,Beginning Soccer,1,N,N
KNACT 176B,Intermediate Soccer,1,KNACT 176A,N
KNACT 178A,Beginning Indoor Soccer,1,N,N
KNACT 178B,Intermediate Indoor Soccer,1,KNACT 178A,N
KNACT 182A,Beginning Volleyball,1,N,N
KNACT 182B,Intermediate Volleyball,1,KNACT 182A,N
KNACT 182C,Advanced Volleyball,1,KNACT 182B,N
KNACT 184A,Beginning Beach Volleyball,1,N,N
KNACT 195A,Beginning Plyometric and Agility Training for Female Athletes,1,N,N
KNACT 195B,Intermediate Plyometrics and Agility Training for Female Athletes,1,KNACT 195A,N
KNACT 195C,Advanced Plyometrics and Agility Training for Female Athletes,1,KNACT 195B,N
,,,,
Kinesiology - Combative,Kinesiology - Combative,Kinesiology - Combative,Kinesiology - Combative,Kinesiology - Combative
KNCMB 110,Self-Defense,1,N,N
KNCMB 114,Jujitsu,1,N,N
KNCMB 118A,Beginning Taekwondo,1,N,N
KNCMB 118B,Intermediate Taekwondo,1,KNCMB 118A,N
KNCMB 118C,Advanced Taekwondo,1,KNCMB 118B,N
KNCMB 126A,Beginning Aikido,1,N,N
KNCMB 126B,Intermediate Aikido,1,KNCMB 126A,N
KNCMB 128,Aikido Weapons - Jo and Bokken,1,N,N
KNCMB 130,Judo,1,N,N
KNCMB 134,Karate,1,N,N
,,,,
Kinesiology - Intercollegiate,Kinesiology - Intercollegiate,Kinesiology - Intercollegiate,Kinesiology - Intercollegiate,Kinesiology - Intercollegiate
KNICA 120,Analysis of Multiple Aspects of Modern Day Football,0.50 - 2.00,N,N
KNICA 199,Sport-Specific Athletic Conditioning,0.50 - 2.00,N,N
KNICA 200,"Intercollegiate Baseball, Men",3,N,N
KNICA 202A,"Intercollegiate Basketball-A, Men",2,N,N
